DestPlace;DestNo;Date;Time;Minutes;Amt1;CustNo;UserID;CallGroup
Acc Telecom;8702647576;9.5;5:47;1:09;0,043;SBV061205;1473687679;Iol
;7966287725;18.5;6:10;1:25;0,098;SBV022714;800252099;FRE
;1494485300;27.5;6:19;6:59;0,063;SBV022714;800252048;FRE
;1162540668;27.5;6:27;6:59;0,008;SBV022714;800252048;FRE
;1676533611;23.5;6:27;3:31;0,244;SBV022714;800243093;FRE
;1509673106;14.5;6:38;1:37;0,112;SBV022714;800243088;FRE
;7788426746;11.5;6:38;1:06;0,076;SBV022714;800252099;FRE
;1332601070;25.5;6:41;17:59;0,02;SBV022714;800252099;FRE
;1513277495;10.5;6:46;1:23;0,096;SBV022714;800252099;FRE
;1159170507;26.5;6:47;8:59;0,038;SBV010901;8009806000;FRE
;1332271628;30.4;6:47;7:59;0,037;SBV022713;800833481;FRE
;1865741737;29.5;6:48;8:59;0,066;SBV022714;800252099;FRE
Orange;7974709906;25.5;6:49;10:35;1,341;332833;1440730295;MOB
Cellnet;7702023004;6.3;6:52;0:59;0,07;SBV051521;1484530710;MOB
;7971867003;5.3;6:55;12:59;0,042;SBV022713;800833481;FRE
Orange;7970711165;19.3;6:56;2:59;0,07;SBV051521;1484530710;MOB
Rotherham;1709326628;6.3;7:00;16:59;0,034;SBV051521;1484530710;NAT
;1617755684;8.5;7:01;3:59;0,004;SBV022714;800243088;FRE
;1332571020;30.4;7:02;8:59;0,066;SBV022713;800833481;FRE
6141;61412865110;1.5;7:02;14:59;0,101;SBV051521;1484530710;MOB
;7811319422;22.5;7:03;1:20;0,092;SBV022714;800252099;FRE
6141;61412865110;1.5;7:04;9:38;3,176;SBV051521;1484530710;MOB
;1217071132;8.5;7:06;9:59;0,011;SBV022714;800243093;FRE
;1902750883;18.5;7:06;2:32;0,176;SBV022714;800252099;FRE
;1782396516;4.5;7:07;2:25;0,167;SBV022714;800252099;FRE
;1509673008;15.3;7:08;7:59;0,037;SBV022713;800833481;FRE
;7966161620;9.5;7:08;15:59;0,018;SBV022714;800252099;FRE
;1332271628;27.3;7:11;13:59;0,044;SBV022713;800833481;FRE
;1213823358;30.5;7:12;2:07;0,147;SBV022714;800243189;FRE
6141;61412865110;1.5;7:14;2:02;0,686;SBV051521;1484530710;MOB
Reading;1189406565;30.5;7:15;1:05;0,04;217654;1189831526;LOC
;1617776645;28.5;7:17;7:59;0,037;SBV022714;800243088;FRE
6141;61412865110;1.5;7:17;6:35;2,176;SBV051521;1484530710;MOB
Vodafone;7880667658;30.4;7:19;2:02;0,227;SBV051521;1484530710;MOB
;1332271628;23.3;7:21;8:59;0,01;SBV022713;800833481;FRE
;2072750016;8.5;7:21;10:59;0,04;SBV010901;8009806000;FRE
;1132506929;30.5;7:25;17:59;0,02;SBV022714;800243093;FRE
;1227738785;31.5;7:25;10:59;0,012;SBV010901;8009806000;FRE
;1617755684;16.5;7:25;16:59;0,019;SBV022714;800243088;FRE
;1709812373;4.5;7:25;2:25;0,167;SBV022714;800243088;FRE
;1782504795;14.5;7:26;2:07;0,147;SBV022714;800252099;FRE
Bourne;1778344533;8.5;7:27;2:11;0,052;320180;1778347123;LOC
;1922453185;11.5;7:28;1:33;0,107;SBV022714;800252099;FRE
;1332271628;30.3;7:31;19:59;0,023;SBV022713;800833481;FRE
Vodafone;7880667658;17.4;7:32;2:22;0,261;SBV051521;1484530710;MOB
;1617755684;16.5;7:34;19:59;0,023;SBV022714;800243088;FRE
;1709551717;15.5;7:36;2:25;0,167;SBV033005;800435723;FRE
;1617755684;28.5;7:37;18:59;0,022;SBV022714;800243088;FRE
;1869357959;20.5;7:38;2:34;0,178;SBV022714;800243189;FRE
;1977513070;12.5;7:38;2:17;0,158;SBV022714;800243225;FRE
Vodafone;7880667658;12.4;7:38;2:59;0,324;SBV051521;1484530710;MOB
;1509673008;16.5;7:39;1:11;0,082;SBV022713;800833481;FRE
Cellnet;7702023004;12.3;7:39;4:59;0,03;SBV051521;1484530710;MOB
6141;61412865110;4.4;7:41;18:59;0,123;SBV051521;1484530710;MOB
;1332363525;18.5;7:42;2:59;0,059;SBV022713;800833481;FRE
;1525713194;14.5;7:42;1:43;0,119;SBV022714;800243088;FRE
;1902673818;24.5;7:42;1:49;0,126;SBV022714;800252099;FRE
;7949309041;21.5;7:42;2:59;0,059;SBV022713;800833481;FRE
Australia;61296838121;4.4;7:42;3:59;0,035;SBV051521;1484530710;INT
;1142344425;10.5;7:43;1:38;0,113;SBV033005;800435723;FRE
;1142583327;22.5;7:43;2:54;0,201;SBV022713;800393606;FRE
;1516481112;18.5;7:43;21:59;0,053;SBV022714;800243225;FRE
Australia;61296838120;3.4;7:43;24:18:00;6,145;SBV051521;1484530710;INT
Australia;61296838120;4.4;7:43;5:09;1,25;SBV051521;1484530710;INT
6141;61412865110;8.5;7:43;19:59;0,129;SBV051521;1484530710;MOB
Reading;1189836481;4.5;7:44;1:37;0,046;217654;1189831526;LOC
;1234766194;21.5;7:44;2:53;0,2;SBV022714;800252099;FRE
;1327844908;15.5;7:44;2:26;0,169;SBV022714;800243189;FRE
;1865246052;5.5;7:44;2:59;0,031;SBV022714;800252099;FRE
Australia;61296838120;8.5;7:44;2:52;0,705;SBV051521;1484530710;INT
;1332271628;30.4;7:46;16:59;0,047;SBV022713;800833481;FRE
Reading;1189834832;4.5;7:48;21:59;0,033;217654;1189831526;LOC
;1516481112;18.5;7:48;2:39;0,184;SBV022714;800243225;FRE
Vodafone;7880667658;14.4;7:48;1:16;0,081;SBV051521;1484530710;MOB
Cellnet;7803115990;26.4;7:49;4:19;0,541;SBV051521;1484530710;MOB
Australia;61296838121;23.4;7:49;1:59;0,123;SBV051521;1484530710;INT
6141;61412865110;4.4;7:49;14:59;0,232;SBV051521;1484530710;MOB
;1234766194;21.5;7:50;8:59;0,01;SBV022714;800252099;FRE
;1252512918;4.5;7:50;8:59;0,038;SBV010901;8009806000;FRE
;1332572023;19.4;7:50;16:59;0,019;SBV022713;800833481;FRE
6141;61412865110;8.5;7:50;1:59;0,03;SBV051521;1484530710;MOB
Cellnet;402023004;22.3;7:51;18:59;0,058;SBV051521;1484530710;MOB
;1332700384;5.3;7:51;9:59;0,039;SBV022713;800833481;FRE
;7949766586;24.5;7:51;3:39;0,253;SBV022714;800243088;FRE
6141;61412865110;4.4;7:51;0:59;0,025;SBV051521;1484530710;MOB
;1423819908;8.5;7:52;1:31;0,105;SBV022714;800252099;FRE
Cellnet;7740173516;30.3;7:52;14:59;0,098;SBV051521;1484530710;MOB
Australia;61296838120;23.4;7:52;2:05;0,517;SBV051521;1484530710;INT
;1216819201;19.5;7:53;2:30;0,173;SBV022714;800252099;FRE
;1273206883;29.5;7:53;2:59;0,003;SBV010901;8009806000;FRE
;1902830344;7.5;7:53;1:27;0,1;SBV022714;800252099;FRE
;1132948853;14.5;7:54;18:59;0,022;SBV022714;800252099;FRE
;1617755684;12.5;7:54;1:51;0,128;SBV022714;800243088;FRE
;1142583327;22.5;7:55;10:59;0,04;SBV022713;800393606;FRE
Ipswich;1473236221;23.3;7:55;6:59;0,03;SBV061205;1473687679;LOC
Huddersfield;1484430000;28.3;7:55;4:00;0,065;SBV051521;1484530710;LOC
;1709862402;8.5;7:55;22:59;0,026;SBV033001;8009806014;FRE
;1753888882;9.5;7:55;2:42;0,187;SBV022714;800252358;FRE
Ipswich;1473236221;23.3;7:56;12:59;0,026;SBV061205;1473687679;LOC
Cellnet;7740173516;1.3;7:56;18:59;0,058;SBV051521;1484530710;MOB
;1283564317;30.5;7:57;3:09;0,218;SBV022714;800243225;FRE
Huddersfield;1484430000;4.4;7:57;5:32;0,137;SBV051521;1484530710;LOC
Vodafone;7775933437;22.3;7:57;3:57;0,466;SBV051521;1484530710;MOB
Cellnet;7801986845;20.4;7:57;5:59;0,032;SBV051521;1484530710;MOB
;7968364569;30.5;7:57;4:19;0,3;SBV022713;800833481;FRE
Holbeach;1406370219;26.4;7:58;2:59;0,031;320180;1778347123;NAT
Holbeach;1406370219;26.4;7:58;7:59;0,033;320180;1778347123;NAT
Huddersfield;1484680612;20.4;7:58;7:59;0,021;SBV051521;1484530710;LOC
;1926494093;27.5;7:58;15:59;0,046;SBV022714;800252048;FRE
6141;61412865110;8.5;7:58;19:59;0,129;SBV051521;1484530710;MOB
;1159170507;26.5;7:59;9:59;0,011;SBV010901;8009806000;FRE
Reading;1189836481;8.5;7:59;13:59;0,033;217654;1189831526;LOC
;1216840670;23.5;7:59;2:19;0,161;SBV022714;800252099;FRE
Ipswich;1473255576;30.4;7:59;2:19;0,086;SBV061205;1473687679;LOC
;1159170507;26.5;8:00;9:59;0,011;SBV010901;8009806000;FRE
;1908373739;19.5;8:00;21:59;0,025;SBV022714;800252048;FRE
;1132262100;3.5;8:01;2:10;0,15;SBV022714;800243088;FRE
;1226763364;3.4;8:01;5:59;0,034;SBV033003;800393494;FRE
;1472592024;8.5;8:01;2:29;0,172;SBV010901;8009806000;FRE
;1977706180;23.5;8:01;16:59;0,019;SBV022713;800393606;FRE
One-2-One;7960117079;6.4;8:01;8:59;0,042;SBV051521;1484530710;MOB
6141;61412865110;8.5;8:01;17:59;0,132;SBV051521;1484530710;MOB
Reading;1189836481;2.5;8:02;1:59;0,041;217654;1189831526;LOC
Reading;1189836481;8.5;8:02;23:59;0,04;217654;1189831526;LOC
;1332271628;9.4;8:02;2:59;0,031;SBV022713;800833481;FRE
;1332281977;8.5;8:02;1:59;0,137;SBV022714;800252099;FRE
Vodafone Cell;7778497218;6.4;8:02;2:59;0,078;SBV061205;1473687679;MOB
;1260224342;1.5;8:03;2:14;0,155;SBV022714;800243088;FRE
;1977661954;23.4;8:03;3:17;0,228;SBV022713;800833481;FRE
;1162350090;12.5;8:04;3:13;0,223;SBV022714;800252099;FRE
;1162392269;21.5;8:04;5:59;0,034;SBV022714;800252099;FRE
;1509673008;20.3;8:04;3:43;0,258;SBV022713;800833481;FRE
;1515200366;14.5;8:04;1:33;0,107;SBV022714;800252099;FRE
;1614315848;24.5;8:04;3:59;0,06;SBV022714;800252099;FRE
;1785609535;2.5;8:04;23:59;0,055;SBV022714;800243088;FRE
Orange;7970711165;22.3;8:04;1:14;0,206;SBV051521;1484530710;MOB
6141;61412865110;4.4;8:04;3:59;0,044;SBV051521;1484530710;MOB
;1215882149;15.5;8:05;5:33;0,385;SBV022714;800252099;FRE
Ipswich;1473787630;23.3;8:05;5:59;0,047;SBV061205;1473687679;LOC
;1617375252;14.5;8:05;1:08;0,078;SBV022714;800252358;FRE
;1793725577;9.5;8:05;1:59;0,137;SBV010901;8009806000;FRE
6141;61412865110;8.5;8:05;9:59;0,082;SBV051521;1484530710;MOB
;1925710500;25.5;8:06;1:56;0,134;SBV022714;800252099;FRE
6141;61412865110;8.5;8:06;5:50;2,198;SBV051521;1484530710;MOB
Reading;1189836481;1.5;8:07;2:59;0,042;217654;1189831526;LOC
;1213111284;22.5;8:07;1:55;0,133;SBV022714;800243093;FRE
;1252512918;4.5;8:07;1:56;0,134;SBV010901;8009806000;FRE
Cellnet;7801455464;6.3;8:07;2:00;0,269;SBV051521;1484530710;MOB
Orange;7980801813;2.4;8:07;19:59;0,124;SBV051521;1484530710;MOB
;1162711894;9.5;8:08;10:59;0,012;SBV022714;800252048;FRE
;1215224303;2.5;8:08;14:59;0,045;SBV022714;800252099;FRE
Barrow-In-Fur;1229581531;13.3;8:08;1:20;0,075;SBV051521;1484531712;NAT
;1274582592;4.5;8:08;1:04;0,074;SBV022714;800252048;FRE
;1494714476;12.5;8:08;2:28;0,171;SBV022714;800252048;FRE
Orange;7970711165;22.3;8:08;12:59;0,052;SBV051521;1484530710;MOB
;1142462565;22.5;8:09;2:40;0,185;SBV022714;800252099;FRE
;1162874824;15.5;8:09;1:41;0,116;SBV022714;800252099;FRE
;1332363525;29.3;8:09;3:15;0,225;SBV022713;800833481;FRE
Ipswich;1473680332;2.5;8:09;3:17;0,119;SBV061205;1473687679;LOC
Huddersfield;1484430000;9.5;8:09;2:54;0,107;SBV051521;1484530710;LOC
Vodafone;7775933437;22.3;8:09;1:59;0,129;SBV051521;1484530710;MOB
;1158770839;1.5;8:10;0:59;0,028;SBV022714;800252099;FRE
;1217852377;21.5;8:10;2:26;0,169;SBV022714;800243093;FRE
Ipswich;1473234285;27.4;8:10;1:20;0,06;SBV061205;1473687679;LOC
Huddersfield;1484437700;22.3;8:10;2:05;0,082;SBV051521;1484530710;LOC
;1133052468;25.5;8:11;7:59;0,064;SBV022714;800252099;FRE
;1619268306;19.5;8:11;2:04;0,143;SBV022714;800252358;FRE
;1709720672;30.5;8:11;1:39;0,114;SBV022714;800243088;FRE
Orange;7970711165;3.4;8:11;19:59;0,124;SBV051521;1484530710;MOB
;1132666848;17.5;8:12;2:38;0,183;SBV022714;800252099;FRE
;1252512918;4.5;8:12;4:59;0,061;SBV010901;8009806000;FRE
Huddersfield;1484430000;22.3;8:12;1:06;0,053;SBV051521;1484530710;LOC
;1773533633;18.5;8:12;3:59;0,032;SBV022714;800252048;FRE
Sudbury;1787373421;12.4;8:12;1:05;0,052;SBV061205;1473687679;LOC
;7719667467;28.3;8:12;13:59;0,016;SBV022713;800833481;FRE
;1215591227;30.5;8:13;1:07;0,077;SBV022714;800243088;FRE
;1869357959;20.5;8:13;15:59;0,018;SBV022714;800243189;FRE
;1952529716;25.5;8:13;4:15;0,295;SBV010901;8009806000;FRE
;1332271628;30.3;8:14;5:59;0,034;SBV022713;800833481;FRE
;1691650147;26.5;8:14;5:00;0,347;SBV010901;8009806000;FRE
;7899993054;22.5;8:15;2:48;0,194;SBV022714;800252099;FRE
Orange;7974095959;19.3;8:15;13:59;0,055;SBV051521;1484530710;MOB
6141;61412865110;3.4;8:15;18:59;0,138;SBV051521;1484530710;MOB
;1142449670;9.5;8:16;1:17;0,089;SBV022714;800252099;FRE
Colchester;1206751780;6.3;8:16;1:54;0,077;SBV061205;1473687679;LOC
;1234768749;27.5;8:16;14:59;0,045;SBV022714;800252099;FRE
;1332774384;27.4;8:16;5:34;0,386;SBV022713;800833481;FRE
;7977122107;18.5;8:16;1:49;0,126;SBV022714;800252099;FRE
;1159170507;26.5;8:17;0:59;0,056;SBV010901;8009806000;FRE
;1457765434;14.5;8:17;19:59;0,023;SBV022714;800243093;FRE
;1132280784;23.5;8:18;1:05;0,075;SBV022714;800252099;FRE
;1213233732;11.5;8:18;3:01;0,209;SBV022714;800243093;FRE
;1457765434;14.5;8:18;2:44;0,189;SBV022714;800243093;FRE
;1462742325;29.5;8:18;2:00;0,139;SBV022714;800252099;FRE
Huddersfield;1484423254;2.4;8:18;2:16;0,088;SBV051521;1484530710;LOC
;1743874504;1.5;8:18;0:59;0,056;SBV010901;8009806000;FRE
;1943862890;21.5;8:18;1:26;0,099;SBV022714;800252099;FRE
;7718293000;4.5;8:18;5:59;0,062;SBV022714;800243189;FRE
Qatar;9744402207;11.5;8:18;10:59;0,59;SBV051521;1484531712;INT
;1162333148;10.5;8:19;5:59;0,062;SBV022714;800252099;FRE
Shrewsbury;1743357262;3.4;8:19;17:59;0,032;SBV281110;1746765454;NAT
Vodafone;7818411180;27.4;8:19;1:16;0,185;SBV051521;1484530710;MOB
Colchester;1206772799;6.3;8:20;3:59;0,034;SBV061205;1473687679;LOC
;1509673008;2.4;8:20;2:25;0,167;SBV022713;800833481;FRE
;1675467472;11.5;8:20;12:59;0,042;SBV022714;800243189;FRE
Vodafone;7768572108;26.4;8:20;2:14;0,312;SBV051521;1484530710;MOB
;1215652985;2.5;8:21;1:35;0,11;SBV022714;800252048;FRE
;1516446747;30.5;8:21;3:59;0,06;SBV022714;800243088;FRE
Rotherham;1709710078;5.4;8:21;6:59;0,058;SBV051521;1484531712;NAT
Orange;7980884475;22.3;8:21;1:48;0,292;SBV051521;1484530710;MOB
Leeds;1132432701;14.5;8:22;3:49;0,179;SBV051521;1484530710;NAT
;1332363525;22.5;8:22;22:59;0,026;SBV022713;800833481;FRE
;1926338331;14.5;8:22;3:51;0,267;SBV022714;800252048;FRE
Sheffield;1142761167;28.3;8:23;1:00;0,061;SBV051521;1484531712;NAT
;1279814818;15.5;8:24;3:59;0,276;SBV010901;8009806000;FRE
;1302842240;3.5;8:24;1:54;0,132;SBV022713;800393606;FRE
Ipswich;1473788728;6.3;8:24;2:59;0,033;SBV061205;1473687679;LOC
Maldon;1621817930;9.4;8:24;6:33;0,293;SBV061205;1473687690;NAT
London;2083480127;14.5;8:24;1:27;0,029;308;2074316125;LOC
Vodafone;7887774025;22.3;8:24;12:59;0,1;SBV051521;1484530710;MOB
;1132853839;29.5;8:25;0:59;0,028;SBV022714;800252048;FRE
;1509673008;28.3;8:25;3:33;0,246;SBV022713;800833481;FRE
;1623636443;20.4;8:25;7:59;0,037;SBV022713;800833481;FRE
Wakefield;1924218112;22.3;8:25;1:21;0,06;SBV051521;1484530710;LOC
Pontefract;1977662196;11.5;8:25;8:59;0,059;SBV051521;1484530710;NAT
;7946007773;8.5;8:25;1:12;0,083;SBV010901;8009806000;FRE
6141;61418820430;26.4;8:25;14:31;5,442;SBV051521;1484530710;MOB
Sheffield;1142756200;10.5;8:26;20:59;0,034;SBV051521;1484530710;NAT
Barrow-In-Fur;1229581531;13.3;8:26;1:19;0,074;SBV051521;1484531712;NAT
Hitchin;1462488742;30.5;8:26;2:29;0,123;SBV051002;1268553031;NAT
Huddersfield;1484222564;21.3;8:26;15:59;0,028;SBV051521;1484530710;LOC
Huddersfield;1484430000;9.5;8:26;12:59;0,026;SBV051521;1484530710;LOC
;1792813844;29.5;8:26;5:59;0,006;SBV033003;800393494;FRE
Cellnet;7713166246;22.3;8:26;2:59;0,026;SBV051521;1484530710;MOB
Cellnet;7740173516;4.5;8:26;2:12;0,294;SBV051521;1484530710;MOB
;1162128552;13.5;8:27;1:17;0,089;SBV022714;800243088;FRE
Barnsley;1226297558;22.3;8:28;1:26;0,063;SBV051521;1484530710;LOC
Holbeach;1406370219;26.4;8:28;9:59;0,056;320180;1778347123;NAT
;1744886644;8.5;8:28;1:00;0,069;SBV010901;8009806000;FRE
Cellnet;7710500383;9.5;8:28;0:59;0,071;SBV061205;1473687679;MOB
;1214769394;11.5;8:29;8:59;0,038;SBV022714;800252358;FRE
Canterbury;1227478719;10.5;8:29;3:19;0,12;SBV082403;1227772123;LOC
Ashford;1233663594;12.5;8:29;6:59;0,027;SBV082403;1227772122;LOC
Hitchin;1462488742;30.5;8:29;18:59;0,033;SBV051002;1268553031;NAT
;1462730101;14.5;8:29;2:38;0,183;SBV010901;8009806000;FRE
;1604616000;25.5;8:29;1:49;0,126;SBV022714;800252099;FRE
London;2075531239;9.5;8:29;20:59;0,034;SBV061205;1473687679;NAT
Vodafone;7775933437;8.5;8:29;1:29;0,214;SBV051521;1484530710;MOB
Cellnet;7801986845;10.5;8:29;6:59;0,034;SBV051521;1484530710;MOB
Cellnet;410500383;6.3;8:30;3:59;0,127;SBV061205;1473687679;MOB
;1158751368;27.5;8:30;14:59;0,045;SBV022714;800252099;FRE
Huddersfield;1484658499;26.3;8:30;2:41;0,101;SBV051521;1484530710;LOC
Huddersfield;1484680612;10.5;8:30;0:59;0,02;SBV051521;1484530710;LOC
Leeds;1132323666;21.3;8:31;12:59;0,045;SBV051521;1484531712;NAT
;1142583303;8.5;8:31;5:56;0,412;SBV033005;800435723;FRE
Canterbury;1227262362;12.5;8:31;18:59;0,022;SBV082403;1227772123;LOC
Huddersfield;1484430000;19.4;8:31;5:59;0,035;SBV051521;1484530710;LOC
;2082451528;26.5;8:31;7:39;0,531;SBV010901;8009806000;FRE
Tscr (gsm);7802935173;9.5;8:31;3:48;0,493;SBV051521;1484530710;MOB
One-2-One;7958964923;10.5;8:31;1:59;0,146;SBV051521;1484530710;MOB
Australia;61296838120;23.4;8:31;5:59;0,047;SBV051521;1484530710;INT
Leeds;1132323666;11.5;8:32;1:19;0,074;SBV051521;1484531712;NAT
;1279814818;15.5;8:32;7:59;0,037;SBV010901;8009806000;FRE
;1455558282;31.3;8:32;4:59;0,033;SBV022713;800833481;FRE
Norwich;1603789439;23.3;8:32;1:26;0,079;SBV061205;1473687679;NAT
;1709860827;10.5;8:32;19:59;0,05;SBV033001;8009806014;FRE
;1977794193;21.5;8:32;2:58;0,206;SBV022714;800243093;FRE
Cellnet;7740173516;24.3;8:32;1:59;0,049;SBV051521;1484530710;MOB
Orange Pcs;7855305729;26.3;8:32;4:44;0,736;SBV051521;1484530710;MOB
;7905032049;31.3;8:32;17:59;0,048;SBV022713;800833481;FRE
Australia;61296838121;23.4;8:32;21:10;5,933;SBV051521;1484530710;INT
Cellnet;850660700;8.3;8:33;8:59;0,038;SBV061205;1473687679;MOB
Huddersfield;1484430000;11.4;8:33;6:59;0,047;SBV051521;1484530710;LOC
;1709896529;12.5;8:33;7:59;0,009;SBV033001;8009806014;FRE
;1757618232;15.5;8:33;5:13;0,362;SBV062205;8009806333;FRE
;1788861300;30.5;8:33;13:59;0,044;SBV022714;800243093;FRE
Vodafone Cell;7778497218;30.3;8:33;5:59;0,085;SBV061205;1473687679;MOB
Bradford;1274406416;30.4;8:34;12:59;0,038;SBV051521;1484530710;LOC
Huddersfield;1484222734;20.3;8:34;2:02;0,081;SBV051521;1484530710;LOC
Huddersfield;1484664123;1.5;8:34;1:10;0,055;SBV051521;1484530710;LOC
;1614422835;5.5;8:34;6:29;0,45;SBV022714;800252099;FRE
;1280704059;18.5;8:35;1:25;0,098;SBV022714;800243088;FRE
Huddersfield;1484424820;22.3;8:35;1:13;0,056;SBV051521;1484530710;LOC
;1509215138;23.5;8:35;1:19;0,091;SBV022714;800243088;FRE
;1582758030;21.5;8:35;3:59;0,06;SBV022714;800252048;FRE
Wakefield;1924455547;20.3;8:35;1:06;0,053;SBV051521;1484530710;LOC
;1977620387;20.4;8:35;19:59;0,023;SBV022713;800833481;FRE
Vodafone;7775933437;2.4;8:35;2:22;0,329;SBV051521;1484530710;MOB
Orange;7970003306;12.4;8:35;20:59;0,126;SBV051521;1484530710;MOB
;0;16.5;8:36;1:58;0,136;SBV010901;8009806000;FRE
Cellnet;78019668;24.3;8:36;4:59;0,021;SBV051521;1484530710;MOB
Cellnet;850660700;8.3;8:36;2:59;0,026;SBV061205;1473687679;MOB
Leeds;1132441133;11.4;8:36;2:12;0,111;SBV051521;1484530710;NAT
Ipswich;1473721266;30.3;8:36;13:59;0,039;SBV061205;1473687679;LOC
Huddersfield;1484305884;23.4;8:36;12:59;0,026;SBV051521;1484530710;LOC
Huddersfield;1484658499;1.3;8:36;10:59;0,037;SBV051521;1484530710;LOC
Huddersfield;1484664022;6.3;8:36;8:59;0,024;SBV051521;1484530710;LOC
Huddersfield;1484664123;1.5;8:36;2:59;0,021;SBV051521;1484530710;LOC
North Berwick;1620810240;10.5;8:36;1:05;0,065;SBV051521;1484530710;NAT
Maldon;1621817930;9.4;8:36;4:31;0,208;SBV061205;1473687690;NAT
;1634713404;31.5;8:36;1:18;0,09;SBV010901;8009806000;FRE
Leeds;1132329485;16.3;8:37;1:09;0,067;SBV051521;1484531712;NAT
Bradford;1274493331;30.4;8:37;3:59;0,022;SBV051521;1484530710;LOC
Huddersfield;1484324084;17.4;8:37;2:23;0,091;SBV051521;1484530710;LOC
Huddersfield;1484461043;19.3;8:37;3:51;0,136;SBV051521;1484530710;LOC
Huddersfield;1484478311;23.4;8:37;2:05;0,082;SBV051521;1484530710;LOC
Huddersfield;1484664576;22.3;8:37;1:27;0,063;SBV051521;1484530710;LOC
Sudbury;1787373421;10.5;8:37;6:59;0,23;SBV061205;1473687679;LOC
Cellnet;7801986845;24.3;8:37;9:59;0,022;SBV051521;1484530710;MOB
;129822371;23.5;8:38;1:42;0,118;SBV022714;800243088;FRE
;1207230495;11.5;8:38;5:06;0,354;SBV010901;8009806000;FRE
;1235521285;12.5;8:38;1:16;0,088;SBV022714;800243088;FRE
;1384481687;21.5;8:38;2:50;0,196;SBV022714;800243088;FRE
Ipswich;1473210552;2.4;8:38;5:59;0,047;SBV061205;1473687679;LOC
Ipswich;1473236221;9.4;8:38;11:59;0,026;SBV061205;1473687679;LOC
;1476567135;18.5;8:38;4:22;0,303;SBV010901;8009806000;FRE
Huddersfield;1484222573;30.4;8:38;6:59;0,047;SBV051521;1484530710;LOC
Huddersfield;1484311750;23.3;8:38;20:59;0,042;SBV051521;1484530710;LOC
Wakefield;1924383233;14.5;8:38;2:59;0,033;SBV051521;1484530710;LOC
London;2072481084;24.4;8:38;19:46;0,844;SBV061205;1473687679;NAT
;7930148599;2.5;8:38;1:07;0,077;SBV022714;800252048;FRE
Tscr (gsm);802890000;21.3;8:39;6:59;0,034;SBV051521;1484530710;MOB
Cellnet;850863347;20.3;8:39;5:16;0,676;SBV051521;1484530710;MOB
Canterbury;1227771720;12.5;8:39;2:59;0,023;SBV082403;1227772123;LOC
;1234721204;30.5;8:39;2:20;0,162;SBV022714;800252099;FRE
;1270650287;24.5;8:39;7:59;0,037;SBV022714;800252099;FRE
Huddersfield;1484430000;3.4;8:39;13:06;0,415;SBV051521;1484530710;LOC
Huddersfield;1484646015;22.3;8:39;1:48;0,074;SBV051521;1484530710;LOC
;1619722600;29.5;8:39;2:42;0,187;SBV022714;800243088;FRE
